Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CDNS,"Cadence Design Sys",64.57,0.1,+0.16%,64.72,64.08,1027300,04/11/19
CE,"Celanese Corp",102.1,0.29,+0.28%,102.69,101.63,563300,04/11/19
CELG,"Celgene Corp",94.23,-0.1,-0.11%,94.69,93.71,9235600,04/11/19
CERN,"Cerner Corp",62.2,-1.51,-2.37%,63.76,61.98,3310900,04/11/19
CF,"Cf Industries Holdings",42.25,-0.3,-0.71%,42.65,41.94,1292600,04/11/19
CFG,"Citizens Financial Group Inc/Ri",34.36,0.25,+0.73%,34.72,34.01,5809500,04/11/19
CHD,"Church & Dwight Company",73.7,0.48,+0.66%,73.72,72.82,1114100,04/11/19
CHRW,"C.H. Robinson Ww",89.67,1.34,+1.52%,89.87,88.76,871300,04/11/19
CHTR,"Charter Communicatio",355.25,0.9,+0.25%,356.59,353.25,689200,04/11/19
CI,"Cigna Corp",164.01,-4.19,-2.49%,168.38,162.36,3368000,04/11/19
CINF,"Cincinnati Financial",86.87,0.82,+0.95%,86.95,86.12,328200,04/11/19
CL,"Colgate-Palmolive Company",68.09,-0.02,-0.03%,68.48,67.75,2508900,04/11/19
CLX,"Clorox Company",155.33,1.54,+1.00%,155.63,153.7,955600,04/11/19
CMA,"Comerica Inc",78.08,0.61,+0.79%,78.95,77.4,2159200,04/11/19
CMCSA,"Comcast Corp A",41.04,-0.04,-0.10%,41.14,40.85,9249400,04/11/19
CME,"CME Group Inc",170.54,0.48,+0.28%,171.5,170.05,1081900,04/11/19
CMG,"Chipotle Mexican Grill",707.53,-11.32,-1.57%,713.02,705.18,781800,04/11/19
CMI,"Cummins Inc",164.56,2.02,+1.24%,165,162.08,613700,04/11/19
CMS,"Cms Energy Corp",54.93,0.54,+0.99%,54.97,54.29,2993600,04/11/19
CNC,"Centene Corp",55.13,-2.16,-3.77%,57.9,55.03,8798899,04/11/19
CNP,"Centerpoint Energy Inc",30.29,0.09,+0.30%,30.37,30.1,4812800,04/11/19
COF,"Capital One Financial Corp",86.25,0.62,+0.72%,86.69,85.62,1390900,04/11/19
COG,"Cabot Oil & Gas Corp",27.07,-0.08,-0.29%,27.18,26.72,5245900,04/11/19
COO,"Cooper Companies",291.88,0.2,+0.07%,293.11,289.07,299900,04/11/19
COP,Conocophillips,66.37,-0.6,-0.90%,67.6,65.72,9486899,04/11/19
COST,"Costco Wholesale",241.24,-4.37,-1.78%,244.18,240.92,2719900,04/11/19
COTY,"Coty Inc",11.18,0.01,+0.09%,11.22,11.13,9349300,04/11/19
CPB,"Campbell Soup Company",39.66,0.53,+1.35%,39.87,39.19,2410100,04/11/19
CPRI,"Capri Holdings Ltd",48.06,-1.77,-3.55%,50,47.96,2203100,04/11/19
CPRT,"Copart Inc",64.89,0.62,+0.96%,64.93,64.22,613200,04/11/19
CRM,"Salesforce.com Inc",160.73,0.49,+0.31%,160.83,159.02,2578300,04/11/19
CSCO,"Cisco Systems Inc",55.6,-0.22,-0.39%,55.95,55.31,13185899,04/11/19
CSX,"CSX Corp",75.4,0.33,+0.44%,75.51,74.88,2000700,04/11/19
CTAS,"Cintas Corp",205.47,0.5,+0.24%,205.71,203.48,320500,04/11/19
CTL,Centurylink,12.59,0.04,+0.32%,12.71,12.47,7849700,04/11/19
CTSH,"Cognizant Tech Sol",74.19,-0.41,-0.55%,74.78,74.07,2018500,04/11/19
CTXS,"Citrix Systems Inc",101.91,0.35,+0.34%,102.05,101.13,1173700,04/11/19
CVS,"CVS Corp",52.69,-1.18,-2.19%,54.37,52.47,11354699,04/11/19
CVX,"Chevron Corp",125.99,0.5,+0.40%,126.25,124.75,3248200,04/11/19
CXO,"Concho Resources Inc",104.73,-3.01,-2.79%,107.37,101.6,3948900,04/11/19
D,"Dominion Resources",76.3,0.47,+0.62%,76.31,75.69,2169800,04/11/19
DAL,"Delta Air Lines Inc",58.39,0.53,+0.92%,58.84,57.82,8452400,04/11/19
DE,"Deere & Company",160.16,1.53,+0.96%,160.3,157.9,1162200,04/11/19
DFS,"Discover Financial Services",74.87,0.34,+0.46%,75.16,74.2,1131500,04/11/19
DG,"Dollar General Corp",122.41,0.6,+0.49%,122.75,121.88,1379300,04/11/19
DGX,"Quest Diagnostics Inc",89.72,-0.65,-0.72%,90.74,89.45,1110300,04/11/19
DHI,"D.R. Horton",44.85,0.92,+2.09%,44.96,43.66,6245400,04/11/19
DHR,"Danaher Corp",131.43,-0.07,-0.05%,131.89,130.85,1451900,04/11/19
DIS,"Walt Disney Company",116.6,-0.56,-0.48%,117.86,116.32,12784399,04/11/19
DISCA,"Discovery Comm A",30.19,-0.4,-1.31%,31.34,30.06,6015600,04/11/19
DISCK,"Discovery Comm Inc",27.83,-0.42,-1.49%,28.97,27.71,4567200,04/11/19
DISH,"Dish Network Corp",34.72,0.11,+0.32%,34.87,34.36,1354900,04/11/19
DLR,"Digital Realty Trust",121.72,-0.26,-0.21%,122.7,120.97,778800,04/11/19
DLTR,"Dollar Tree Inc",104.65,1.22,+1.18%,104.79,103.37,1393100,04/11/19
DOV,"Dover Corp",95.81,0.63,+0.66%,96.02,94.92,944200,04/11/19
DRE,"Duke Realty Corp",30.62,-0.21,-0.68%,31.07,30.5,3118400,04/11/19
DRI,"Darden Restaurants",116.35,-0.66,-0.56%,117.5,115.81,1130100,04/11/19
DTE,"Dte Energy Company",123.92,0.91,+0.74%,124,122.72,760200,04/11/19
DUK,"Duke Energy Corp",90.26,0.32,+0.36%,90.46,89.8,2424400,04/11/19
DVA,"Davita Healthcare Partners Inc",54.63,-1.27,-2.27%,56.06,54.43,1046900,04/11/19
DVN,"Devon Energy Corp",31.18,-0.22,-0.70%,31.75,30.83,3416400,04/11/19
DWDP,"Dowdupont Inc",38.89,0.39,+1.01%,39.03,38.1,11925100,04/11/19
DXC,"Dxc Technology Company",64.57,0.17,+0.26%,65.15,64.45,1099800,04/11/19
EA,"Electronic Arts Inc",100.58,0.95,+0.95%,101.4,99.63,2530500,04/11/19
EBAY,"Ebay Inc",36.32,-1.4,-3.71%,37.63,35.89,19483199,04/11/19
ECL,"Ecolab Inc",182.98,0.4,+0.22%,183.17,181.82,610900,04/11/19
ED,"Consolidated Edison Company of New York",84.47,0.6,+0.72%,84.58,83.77,1086300,04/11/19
EFX,"Equifax Inc",124.48,1.36,+1.10%,124.57,122.86,562200,04/11/19
EIX,"Edison International",62.6,-0.06,-0.10%,62.86,62.31,1779400,04/11/19
EL,"Estee Lauder Companies",168.04,1.52,+0.91%,168.32,166.73,1601200,04/11/19
EMN,"Eastman Chemical Company",81.69,0.06,+0.07%,82.51,81.45,1065000,04/11/19
EMR,"Emerson Electric Company",71.46,0.33,+0.46%,71.59,71.06,1489800,04/11/19
EOG,"Eog Resources",98.73,0,0.00%,99.76,97.66,2640800,04/11/19
EQIX,"Equinix Inc",460.67,-0.54,-0.12%,462.92,456.98,256200,04/11/19
EQR,"Equity Residential",76.69,0.34,+0.45%,76.92,76.23,1926800,04/11/19
ES,"Eversource Energy",70.6,0.29,+0.41%,70.78,69.87,1294500,04/11/19
ESS,"Essex Property Trust",289.82,1.12,+0.39%,290.28,287.82,151900,04/11/19
ETFC,"E*Trade Finl Corp",48.28,0.24,+0.50%,48.85,48.12,1677000,04/11/19
ETN,"Eaton Corp",82.98,0.56,+0.68%,83.18,82.5,1349700,04/11/19
ETR,"Entergy Corp",95.02,0.43,+0.45%,95.24,94.38,1402000,04/11/19
EVRG,"Evergy Inc",57.41,0.25,+0.44%,57.5,57,1663800,04/11/19
EW,"Edwards Lifesciences Corp",190.36,1.53,+0.81%,190.51,186.89,835600,04/11/19
EXC,"Exelon Corp",49.78,0.22,+0.44%,49.8,49.38,3576500,04/11/19
EXPD,"Expeditors Intl",78.19,0.39,+0.50%,78.32,77.72,576700,04/11/19
EXPE,"Expedia Group Inc",124.59,0.43,+0.35%,125,123.94,687400,04/11/19
EXR,"Extra Space Storage Inc",101.6,-0.39,-0.38%,102.53,100.97,700100,04/11/19
F,"Ford Motor Company",9.39,0.06,+0.64%,9.41,9.33,26488100,04/11/19
FANG,"Diamondback Energy",99.92,-3.95,-3.80%,103.37,99.84,3192700,04/11/19
FAST,"Fastenal CO",68.48,3.29,+5.05%,69.2,67,5969400,04/11/19
FB,"Facebook Inc",177.51,-0.31,-0.17%,178.4,177,8070900,04/11/19
FBHS,"Fortune Brands Home & Security",49.11,-0.56,-1.13%,49.15,47.51,1615900,04/11/19
FCX,"Freeport-Mcmoran Inc",13.41,-0.08,-0.59%,13.47,13.15,16534400,04/11/19
FDX,"Fedex Corp",191.87,0.87,+0.46%,193,190.96,1541200,04/11/19
FE,"Firstenergy Corp",41.21,0.38,+0.93%,41.22,40.72,4130000,04/11/19
FFIV,"F5 Networks Inc",167.29,-0.86,-0.51%,168.84,166.66,354200,04/11/19
FIS,"Fidelity National Information Services",112.9,0.52,+0.46%,113.29,111.74,3351900,04/11/19
FISV,"Fiserv Inc",85.54,-1.21,-1.39%,87.17,85.32,9136601,04/11/19
FITB,"Fifth Third Bncp",26.97,0.25,+0.94%,27.16,26.68,6802400,04/11/19
FL,"Footlocker Inc",60.72,-0.52,-0.85%,61.96,60.53,2970900,04/11/19
FLIR,"Flir Systems Inc",49.29,0.53,+1.09%,49.56,48.67,711200,04/11/19
FLR,"Fluor Corp",40.87,1.13,+2.84%,40.93,39.73,1380100,04/11/19
FLS,"Flowserve Corp",48.49,0.68,+1.42%,48.61,47.72,535100,04/11/19
FLT,"Fleetcor Technologies",249.92,-0.23,-0.09%,251.42,248.71,715100,04/11/19
FMC,"FMC Corp",79.89,-0.53,-0.66%,80.52,79.49,502800,04/11/19
FOX,"Fox Corp Cl B",36.41,0.48,+1.34%,36.5,35.53,978200,04/11/19
FOXA,"Fox Corp Cl A",37.09,0.61,+1.67%,37.16,35.99,4791400,04/11/19
FRC,"First Republic Bank",102.56,-0.8,-0.77%,104,102.39,1536600,04/11/19
FRT,"Federal Realty Investment Trust",136.93,-1.61,-1.16%,138.78,136.66,285700,04/11/19
FTI,"Technipfmc Plc",24.72,-0.11,-0.44%,24.89,24.46,4012500,04/11/19
FTNT,"Fortinet Inc",89.68,0.06,+0.07%,90.87,89.02,2030200,04/11/19
FTV,"Fortive Corp",86.85,0.82,+0.95%,87.07,85.81,1925600,04/11/19
GD,"General Dynamics Corp",171.43,2.06,+1.22%,171.65,168.39,1212400,04/11/19
GE,"General Electric Company",9.12,-0.04,-0.44%,9.26,9.1,54814699,04/11/19
GILD,"Gilead Sciences Inc",66.31,-1.09,-1.62%,68,66.03,5994400,04/11/19
GIS,"General Mills",51.56,0.01,+0.02%,51.74,51.3,2666300,04/11/19
GLW,"Corning Inc",34.6,0.2,+0.58%,34.69,34.36,1487000,04/11/19
GM,"General Motors Company",39.33,0.08,+0.20%,39.59,39.13,4581500,04/11/19
GOOG,"Alphabet Class C",1204.62,2.46,+0.20%,1207.96,1200.13,710200,04/11/19
GOOGL,"Alphabet Cl A",1209.59,3.14,+0.26%,1212.74,1204.54,849900,04/11/19
GPC,"Genuine Parts Company",112.58,-0.19,-0.17%,113.04,112.41,666100,04/11/19
GPN,"Global Payments Inc",137.07,0.02,+0.01%,137.59,136.35,707500,04/11/19
GPS,"Gap Inc",25.47,-0.43,-1.66%,26.1,25.31,3765500,04/11/19
GRMN,"Garmin Ltd",89.01,0.21,+0.24%,89.16,88.21,952800,04/11/19
GS,"Goldman Sachs Group",202.83,-0.15,-0.07%,205.45,201.57,2802400,04/11/19
GWW,"W.W. Grainger",308.99,5.82,+1.92%,313.26,306,415600,04/11/19
HAL,"Halliburton Company",31.2,0.16,+0.52%,31.45,30.82,5744400,04/11/19
HAS,"Hasbro Inc",85.85,0.25,+0.29%,86.27,85.36,527900,04/11/19
HBAN,"Huntington Bcshs",13.35,0.05,+0.38%,13.5,13.27,8451200,04/11/19
HBI,"Hanesbrands Inc",18.32,0.3,+1.66%,18.51,18.04,5940700,04/11/19
HCA,"Hca Holdings Inc",130.13,-3.8,-2.84%,134.72,129.68,1020700,04/11/19
HCP,"HCP Inc",30.87,-0.1,-0.32%,31.11,30.69,2422000,04/11/19
HD,"Home Depot",201.48,2.05,+1.03%,201.5,199.03,2465400,04/11/19
HES,"Hess Corp",63.29,-0.07,-0.11%,63.69,62.23,2128500,04/11/19
HFC,"Hollyfrontier Corp",50.48,0.44,+0.88%,50.93,49.64,2300400,04/11/19
HIG,"Hartford Financial Services Group",50.57,0.59,+1.18%,50.64,50.04,1378400,04/11/19
HII,"Huntington Ingalls Industries",217.53,5.3,+2.50%,218.58,211.52,364300,04/11/19
HLT,"Hilton Inc",88.53,0.54,+0.61%,88.69,87.96,1696600,04/11/19
HOG,"Harley-Davidson Inc",39.42,0.09,+0.23%,39.67,39.25,1323600,04/11/19
HOLX,"Hologic Inc",47.39,-0.17,-0.36%,47.7,47.28,975600,04/11/19
HON,"Honeywell International Inc",160.9,0.93,+0.58%,161.05,159.68,1756100,04/11/19
HP,"Helmerich & Payne",59.09,-0.39,-0.66%,60.51,58.72,1097900,04/11/19
HPE,"Hewlett Packard Enterprise Comp",16.27,0,0.00%,16.33,16.1,6985300,04/11/19
HPQ,"Hewlett-Packard Company",19.94,-0.03,-0.15%,20.09,19.87,11975801,04/11/19
HRB,"H&R Block",25.23,0.16,+0.64%,25.49,25.15,2726700,04/11/19
HRL,"Hormel Foods Corp",41.56,-0.19,-0.46%,41.83,41.13,2591700,04/11/19
HRS,"Harris Corp",165.22,2.53,+1.56%,165.63,162.41,625000,04/11/19
HSIC,"Henry Schein Inc",60.93,-0.91,-1.47%,62.01,60.56,1565000,04/11/19
HST,"Host Marriott Financial Trust",19.07,-0.09,-0.47%,19.27,18.9,4255600,04/11/19
HSY,"Hershey Foods Corp",115.92,-0.39,-0.34%,116.49,115.23,1049300,04/11/19
HUM,"Humana Inc",260.74,-5.76,-2.16%,268.58,255.38,2114300,04/11/19
IBM,"International Business Machines",143.78,0.76,+0.53%,144.11,143.03,2941900,04/11/19
ICE,"Intercontinental Exchange",77.06,0.21,+0.27%,77.36,76.8,2193700,04/11/19
IDXX,"Idexx Laboratories",223.76,-0.76,-0.34%,225.89,221.5,444500,04/11/19
IFF,"International Flavors & Fragrances",131.14,0.65,+0.50%,131.37,130.05,821700,04/11/19
ILMN,"Illumina Inc",328.52,3.66,+1.13%,328.58,322.81,888800,04/11/19
INCY,"Incyte Corp",81.06,-2.35,-2.82%,83.92,80.99,1070500,04/11/19
INFO,"IHS Markit Ltd",55.01,0.04,+0.07%,55.1,54.77,864100,04/11/19
INTC,"Intel Corp",55.8,0.05,+0.09%,56.07,55.63,10845800,04/11/19
INTU,"Intuit Inc",259.59,0.5,+0.19%,260.74,258.71,1329700,04/11/19
IP,"International Paper Company",47.06,0.13,+0.28%,47.74,46.91,2157700,04/11/19
IPG,"Interpublic Group of Companies",21.87,0.26,+1.20%,22.07,21.7,3379800,04/11/19
IPGP,"Ipg Photonics Corp",166.32,-0.25,-0.15%,167.5,164.7,334700,04/11/19
IQV,"Iqvia Holdings Inc",143.18,-1.63,-1.13%,144.85,142.74,909400,04/11/19
IR,"Ingersoll-Rand Plc [Ireland]",112.68,1.69,+1.52%,112.75,110.64,1331800,04/11/19
IRM,"Iron Mountain Inc",36.29,0.08,+0.22%,36.5,36.16,1001700,04/11/19
ISRG,"Intuitive Surg Inc",584.63,-1.26,-0.22%,586.56,577.43,387300,04/11/19
IT,"Gartner Inc",158.44,1.16,+0.74%,158.52,156.32,268800,04/11/19
ITW,"Illinois Tool Works Inc",154.33,2.64,+1.74%,154.39,151.58,1024800,04/11/19
IVZ,"Invesco Plc",20.85,0.06,+0.29%,21.16,20.79,3980800,04/11/19
JBHT,"J B Hunt Transport",104.7,2.32,+2.27%,104.91,102.27,1173600,04/11/19
JCI,"Johnson Controls Intl",35.81,-0.01,-0.03%,35.93,35.69,9273200,04/11/19
JEC,"Jacobs Engineering Group Inc",76.38,0.87,+1.15%,76.54,75.46,798700,04/11/19
JEF,"Jefferies Financial Group Inc",19.79,-0.14,-0.70%,20.07,19.78,2683700,04/11/19
JKHY,"Jack Henry & Assoc",143.13,1.07,+0.75%,143.21,141.88,331700,04/11/19
JNJ,"Johnson & Johnson",135.21,-0.37,-0.27%,136.18,134.42,4485200,04/11/19
JNPR,"Juniper Networks",27.51,0.02,+0.07%,27.6,27.38,1413900,04/11/19
JPM,"JP Morgan Chase & CO",106.23,0.89,+0.84%,106.73,105.56,11183801,04/11/19
JWN,Nordstrom,43.86,-1.08,-2.40%,45.69,43.44,3634200,04/11/19
K,"Kellogg Company",57.35,-0.2,-0.35%,57.9,56.89,1841500,04/11/19
KEY,Keycorp,16.44,0.05,+0.31%,16.63,16.35,12791500,04/11/19
KEYS,"Keysight Technologies Inc Comm",91.37,0.75,+0.83%,91.42,90.3,1462600,04/11/19
KHC,"Kraft Heinz CO",32.99,0.01,+0.03%,33.19,32.8,6022200,04/11/19
KIM,"Kimco Realty Corp",18.27,-0.19,-1.03%,18.56,18.22,2328200,04/11/19
KLAC,"K L A-Tencor Corp",122.91,-0.43,-0.35%,124.38,122.24,1037100,04/11/19
KMB,"Kimberly-Clark Corp",122.57,0.91,+0.75%,122.69,121.46,1307000,04/11/19
KMI,"Kinder Morgan",19.92,0.08,+0.40%,19.95,19.75,6844300,04/11/19
KMX,"Carmax Inc",73.9,-0.41,-0.55%,74.63,73.32,1302400,04/11/19
KO,"Coca-Cola Company",46.71,0.07,+0.15%,46.75,46.54,7352400,04/11/19
KR,"Kroger Company",25.74,0.76,+3.04%,25.86,25.05,18409799,04/11/19
KSS,"Kohl's Corp",70.16,-1.35,-1.89%,72.17,70.05,2411500,04/11/19
KSU,"Kansas City Southern",117.13,0.01,+0.01%,117.39,115.86,701800,04/11/19
L,"Loews Corp",49.1,0.42,+0.86%,49.23,48.71,1116800,04/11/19
LB,"L Brands Inc",26.58,-0.62,-2.28%,27.53,26.57,3386400,04/11/19
LEG,"Leggett & Platt Inc",43.21,0.23,+0.54%,43.29,42.97,875000,04/11/19
LEN,"Lennar Corp",51.3,0.46,+0.90%,51.36,50.74,2747000,04/11/19
LH,"Laboratory Corp of America Holdings",157.87,-1.74,-1.09%,160.24,157.31,421900,04/11/19
LIN,"Linde Plc",179.85,-1.17,-0.65%,181.81,179.77,1916400,04/11/19
LKQ,"LKQ Corp",30.39,0.06,+0.20%,30.44,30.26,1224500,04/11/19
LLL,"L-3 Communications Holdings",213.74,3.37,+1.60%,214.22,209.95,416500,04/11/19
LLY,"Eli Lilly and Company",125.15,-2.04,-1.60%,127.32,124.51,5520600,04/11/19
LMT,"Lockheed Martin Corp",305.59,6.47,+2.16%,305.83,300,829400,04/11/19
LNC,"Lincoln National Corp",63.9,0.95,+1.51%,64.44,63.27,1431900,04/11/19
LNT,"Alliant Energy Corp",46.63,0.34,+0.73%,46.65,46.3,1152500,04/11/19
LOW,"Lowe's Companies",115.13,1.37,+1.20%,115.22,113.36,2540500,04/11/19
LRCX,"Lam Research Corp",191.31,0.47,+0.25%,193.47,190.5,1194200,04/11/19
LUV,"Southwest Airlines Company",53,0.38,+0.72%,53.51,52.69,3287000,04/11/19
LW,"Lamb Weston Holdings Inc",71.63,-0.77,-1.06%,72.58,71.27,1192400,04/11/19
LYB,"Lyondellbasell Industries NV",90.51,0.95,+1.06%,90.8,89.56,1820800,04/11/19
M,"Macy's Inc",24.32,-0.44,-1.78%,25.02,24.3,9959300,04/11/19
MA,"Mastercard Inc",236.04,-1.02,-0.43%,238,235.04,1908200,04/11/19
MAA,"Mid-America Apartment Communities",110.64,0.48,+0.44%,111.1,109.8,388400,04/11/19
MAC,"Macerich Company",43.08,-0.32,-0.74%,43.79,42.87,530800,04/11/19
MAR,"Marriot Int Cl A",133.25,0.5,+0.38%,133.82,132.71,1245100,04/11/19
MAS,"Masco Corp",40.31,-0.1,-0.25%,40.4,40.1,2579500,04/11/19
MAT,"Mattel Inc",13.5,0,0.00%,13.64,13.45,2062100,04/11/19
MCD,"McDonald's Corp",188.88,-0.34,-0.18%,189.48,188.05,1740300,04/11/19
MCHP,"Microchip Technology",93.97,-0.28,-0.30%,94.39,93.02,1885700,04/11/19
