Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PM,"Philip Morris International Inc",85.51,-0.2,-0.23%,86,85.47,3893400,04/11/19
PNC,"PNC Bank",128.72,1.43,+1.12%,128.91,127.5,2051600,04/11/19
PNR,"Pentair Ltd",39.98,0.75,+1.91%,40.35,38.99,4205300,04/11/19
PNW,"Pinnacle West Capital Corp",95.26,1.14,+1.21%,95.32,93.72,846200,04/11/19
PPG,"PPG Industries",114.52,-0.38,-0.33%,115.27,114.25,761900,04/11/19
PPL,"PPL Corp",31.97,0.23,+0.72%,32,31.7,2953800,04/11/19
PRGO,"Perrigo Company",50.18,-1.07,-2.09%,51.3,49.77,680100,04/11/19
PRU,"Prudential Financial Inflation Retail",99.56,1.17,+1.19%,100.42,98.91,1735700,04/11/19
PSA,"Public Storage",219.64,0.14,+0.06%,221.06,218.6,450600,04/11/19
PSX,"Phillips 66",98.51,-0.1,-0.10%,99.66,98.16,1486100,04/11/19
PVH,"Phillips-Van Heusen Corp",126.91,-0.42,-0.33%,127.89,126.25,725100,04/11/19
PWR,"Quanta Services",39.69,0.37,+0.94%,39.76,39.19,814200,04/11/19
PXD,"Pioneer Natural Resources CO",150.92,0.43,+0.29%,151.44,148.53,1170400,04/11/19
PYPL,"Paypal Holdings",106.46,-1.05,-0.98%,107.74,105.91,7681000,04/11/19
QCOM,"Qualcomm Inc",55.9,-0.43,-0.76%,56.9,55.78,13903801,04/11/19
QRVO,"Qorvo Inc",76.05,-0.18,-0.24%,77.03,75.9,1352000,04/11/19
RCL,"Royal Caribbean Cruises Ltd",118.94,2.43,+2.09%,119.02,116.86,1264400,04/11/19
RE,"Everest Re Group",221.91,5.1,+2.35%,222.63,217.65,363200,04/11/19
REG,"Regency Centers Corp",68.36,-0.42,-0.61%,68.99,68.07,333500,04/11/19
REGN,"Regeneron Pharmaceutical",393.48,-14.75,-3.61%,410.19,391.73,843400,04/11/19
RF,"Regions Financial Corp",15.21,0.09,+0.60%,15.35,15.06,8237000,04/11/19
RHI,"Robert Half International Inc",66.49,0.89,+1.36%,66.51,65.84,1014000,04/11/19
RHT,"Red Hat Inc",182.5,-0.5,-0.27%,183.36,182.5,1302000,04/11/19
RJF,"Raymond James Financial",86.52,0.91,+1.06%,86.68,85.75,777100,04/11/19
RL,"Ralph Lauren Corp",126.56,0.1,+0.08%,127.46,125.83,895500,04/11/19
RMD,"Resmed Inc",100.84,-0.78,-0.77%,101.59,100.32,1143900,04/11/19
ROK,"Rockwell Automation Inc",182.95,0.09,+0.05%,183.69,182.22,834800,04/11/19
ROL,"Rollins Inc",42.41,0.57,+1.36%,42.59,41.91,936300,04/11/19
ROP,"Roper Industries",346.47,3.55,+1.04%,347.12,341.42,256000,04/11/19
ROST,"Ross Stores Inc",97.63,-0.71,-0.72%,98.95,97.09,1929500,04/11/19
RSG,"Republic Services",77.43,-2.22,-2.79%,78.11,76.13,2376500,04/11/19
RTN,"Raytheon Company",181.46,2.86,+1.60%,181.85,178.74,1376800,04/11/19
SBAC,"SBA Communications",203.32,0.79,+0.39%,203.64,201.77,505200,04/11/19
SBUX,"Starbucks Corp",75.87,0.39,+0.52%,76.07,75.65,6042600,04/11/19
SCHW,"The Charles Schwab Corp",44.26,-0.01,-0.02%,44.74,44.05,6533500,04/11/19
SEE,"Sealed Air Corp",46.84,0.4,+0.86%,46.87,46.34,1028200,04/11/19
SHW,"Sherwin-Williams Company",443.26,-0.45,-0.10%,445.6,442.74,359200,04/11/19
SIVB,"Svb Financial Grp",238.43,1.16,+0.49%,241.47,236.38,301700,04/11/19
SJM,"J.M. Smucker Company",119.46,0.39,+0.33%,119.93,118.91,625900,04/11/19
SLB,"Schlumberger N.V.",45.31,-0.24,-0.53%,45.91,44.91,5291300,04/11/19
SLG,"SL Green Realty Corp",90.76,-0.93,-1.01%,92.08,90.6,403900,04/11/19
SNA,"Snap-On Inc",155.26,1.46,+0.95%,156.77,154.05,458400,04/11/19
SNPS,"Synopsys Inc",117.76,0.48,+0.41%,118.27,116.86,881400,04/11/19
SO,"Southern Company",52.12,0.35,+0.68%,52.23,51.74,4481300,04/11/19
SPG,"Simon Property Group",184.21,-0.72,-0.39%,186.4,183.54,872300,04/11/19
SPGI,"S&P Global Inc",213.13,0.45,+0.21%,214.14,212.65,1403600,04/11/19
SRE,"Sempra Energy",128.1,0.67,+0.53%,128.2,126.81,1578100,04/11/19
STI,"Suntrust Banks",61.98,0.42,+0.68%,62.43,61.62,1593600,04/11/19
STT,"State Street Corp",69.52,0.52,+0.75%,70.36,69.11,1285000,04/11/19
STX,"Seagate Tech Ord Shs",49.47,-0.24,-0.48%,50.08,49.15,1914100,04/11/19
STZ,"Constellation Brands Inc",191.17,1.07,+0.56%,191.6,189.11,1847300,04/11/19
SWK,"Stanley Black & Decker Inc",144.38,1.92,+1.35%,145.06,142.36,1173000,04/11/19
SWKS,"Skyworks Solutions",88.24,0.19,+0.22%,89.71,87.71,1327600,04/11/19
SYF,"Synchrony Financial",32.62,0.07,+0.22%,33.15,32.52,3493700,04/11/19
SYK,"Stryker Corp",195.33,-0.81,-0.41%,196.26,194.7,667100,04/11/19
SYMC,"Symantec Corp",23.9,0.16,+0.67%,23.98,23.72,2283300,04/11/19
SYY,"Sysco Corp",68.12,0.7,+1.04%,68.21,67.42,1963500,04/11/19
T,"AT&T Inc",32.2,0.32,+1.00%,32.25,31.88,24930801,04/11/19
TAP,"Molson Coors Brewing Company",60.07,0.67,+1.13%,60.72,59.72,1463900,04/11/19
TDG,"Transdigm Group Inc",461.52,4.56,+1.00%,463.13,457.09,563400,04/11/19
TEL,"Te Connectivity Ltd",86.9,0.82,+0.95%,87.32,85.76,1006700,04/11/19
TFX,"Teleflex Inc",305.24,0.39,+0.13%,305.98,301.66,134100,04/11/19
TGT,"Target Corp",80.45,-0.3,-0.37%,81.08,80.14,2627800,04/11/19
TIF,"Tiffany & CO",106.04,0.16,+0.15%,106.46,105.08,1195800,04/11/19
TJX,"TJX Companies",53.89,-0.55,-1.01%,54.44,53.79,5013700,04/11/19
TMK,"Torchmark Corp",85.45,0.43,+0.51%,86.13,84.96,423700,04/11/19
TMO,"Thermo Fisher Scientific Inc",280.51,1.66,+0.60%,281.03,277.47,1027500,04/11/19
TPR,"Tapestry Inc",32.9,-0.51,-1.53%,33.81,32.82,4033200,04/11/19
TRIP,"Tripadvisor Inc",53.88,0.51,+0.96%,54.14,53.35,746500,04/11/19
TROW,"T Rowe Price Group",104.75,0.7,+0.67%,105.62,104.31,887500,04/11/19
TRV,"The Travelers Companies Inc",136.28,0.82,+0.61%,136.43,135.09,955900,04/11/19
TSCO,"Tractor Supply CO",102.95,1.78,+1.76%,103.01,101.4,1158200,04/11/19
